johnmurphy@Johns-MacBook-Pro stephen-python-words % python3 03\ based\ on\ individual\ buys\ strategy\ copy.py 
Word: parabolic, Mean Trend (%): 2.555237715676477
Word: POB60, Mean Trend (%): 2.546026415542395
Word: ROCKETWF, Mean Trend (%): 2.3982779221932433
Word: spread1, Mean Trend (%): 2.36747367035369
Word: POSITIONWORDANALYSISSINGLEGTE0P5, Mean Trend (%): 2.346888087948933
Word: POB50, Mean Trend (%): 2.275544148882347
Word: RECZSCOREDIFFN160, Mean Trend (%): 2.250737526524315
Word: WORDSCORE14, Mean Trend (%): 2.2217824301147457
Word: HIGHESTPOSITIONWORDANALYSISWORDPERC, Mean Trend (%): 2.1588014687247936
Word: SUPERDUPERSTRONG_LASTDAILYHISTSOFFSET, Mean Trend (%): 2.102413715746649
Word: WORDSCORE10, Mean Trend (%): 2.076142492660004
Word: POSITIONWORDANALYSISSINGLEGTEN3, Mean Trend (%): 2.058243159853117
Word: TRENDINGWF, Mean Trend (%): 2.0347065428532534
Word: PSWORDPERC50, Mean Trend (%): 1.964940038647413
Word: HOTCOUNTWORD5, Mean Trend (%): 1.9452190470351194
Word: ZSCORESUMGT1000, Mean Trend (%): 1.939748323359074
Word: RETURNGTNEG7, Mean Trend (%): 1.9215264020363831
Word: ACTONBUYMULTTIMELUNCH, Mean Trend (%): 1.9195847191651205
Word: HOTTHINGRETURNPERCTRENDLTN6, Mean Trend (%): 1.8791152866467147
Word: AVGWORDPERC25, Mean Trend (%): 1.8665729719941258
Word: ZSCORESUMGT1200, Mean Trend (%): 1.7898524183723739
Word: RECZSCOREDIFFN400, Mean Trend (%): 1.7641367842034015
Word: BANKRUPTWF, Mean Trend (%): 1.7344853247333027
Word: HOTCOUNTWORD8, Mean Trend (%): 1.712980026138139
Word: rocket, Mean Trend (%): 1.6905263157894792
Word: PSWORDPERC35, Mean Trend (%): 1.6829323228813085
Word: SUPERSTRONG_BONUSOFFSET, Mean Trend (%): 1.587634162131515
Word: FIFTY_TSLOFFSET, Mean Trend (%): 1.5348415691020485
Word: POB10, Mean Trend (%): 1.389287044676077
Word: HIGHESTAVGWORDPERC, Mean Trend (%): 1.3781460703147252
Word: AVGWORDPERC40, Mean Trend (%): 1.348327635128846
Word: SUPERSTRONG_LASTDAILYHISTSOFFSET, Mean Trend (%): 1.3424529583120053
Word: FIFTY_FIVEMINUTERSIOFFSET, Mean Trend (%): 1.222637206237686
Word: WORDSCORE6, Mean Trend (%): 1.2150715001156573
Word: WORDSCORE8, Mean Trend (%): 1.1881821118663116
Word: HOTTHINGAWHIGHESTSINGLEWORDPERC, Mean Trend (%): 1.1762599229852149
Word: HIGHESTSINGLEWORDPERC, Mean Trend (%): 1.1762599229852149
Word: LEADERSHIPWF, Mean Trend (%): 1.1417082138211823
Word: LOWESTPSWORDPERC, Mean Trend (%): 1.1299455958742208
Word: SUPERSTRONG_VOLUMEOFFSET, Mean Trend (%): 1.0851733543013389
Word: WORDSCORE3, Mean Trend (%): 1.0498186714570974
Word: POB90, Mean Trend (%): 1.0192325929632307
Word: notWatchout, Mean Trend (%): 1.0185813311140945
Word: SUPERSTRONG_JOHNSFAVOFFSET, Mean Trend (%): 0.9936960816060852
Word: POSITIONWORDANALYSISWORDPERC45, Mean Trend (%): 0.9476025360873528
Word: SUPERSTRONG_STSENTOFFSET, Mean Trend (%): 0.9006059126043605
Word: DOUBLE BOTTOMWF, Mean Trend (%): 0.8975401198901306
Word: POB20, Mean Trend (%): 0.8802186167907307
Word: FIFTYBADBADWORDOFFSET, Mean Trend (%): 0.8475368591001788
Word: golden, Mean Trend (%): 0.7643265890956532
Word: cross, Mean Trend (%): 0.7643265890956532
Word: goldenCross, Mean Trend (%): 0.7643265890956532
Word: WORDSCOREN2, Mean Trend (%): 0.7306527100588391
Word: OFFERINGWF, Mean Trend (%): 0.6788028989833537
Word: WORDSCOREN4, Mean Trend (%): 0.6639260743042138
Word: FIFTY_VOLUMEOFFSET, Mean Trend (%): 0.6621244161765458
